T	B	Gr	NK_56	NK_16
0	0	0	108	0
108	0	0	0	0
0	108	0	0	0
0	0	0	108	0
108	0	0	0	0
0	0	0	108	0
0	0	108	0	0
0	108	0	0	0
108	0	0	0	0
108	0	0	0	0
0	0	108	0	0
108	0	0	0	0
0	108	0	0	0
0	108	0	0	0
0	0	108	0	0
0	0	108	0	0
0	108	0	0	0
108	0	0	0	0
108	0	0	0	0
0	0	0	108	0
0	0	0	108	0
0	108	0	0	0
0	0	108	0	0
0	0	0	108	0
0	0	0	108	0
0	108	0	0	0
0	0	0	108	0
0	108	0	0	0
108	0	0	0	0
0	108	0	0	0
108	0	0	0	0
0	108	0	0	0
0	0	108	0	0
0	108	0	0	0
0	108	0	0	0
0	0	0	108	0
0	0	0	108	0
0	0	108	0	0
0	108	0	0	0
0	0	108	0	0
0	0	0	108	0
108	0	0	0	0
0	0	108	0	0
0	0	0	108	0
0	0	0	108	0
0	108	0	0	0
0	0	108	0	0
0	108	0	0	0
0	0	0	108	0
0	0	0	108	0
0	0	108	0	0
0	0	0	108	0
0	0	108	0	0
0	0	0	108	0
0	108	0	0	0
0	108	0	0	0
0	0	0	108	0
0	0	0	108	0
0	108	0	0	0
0	108	0	0	0
0	108	0	0	0
0	108	0	0	0
0	108	0	0	0
0	0	0	108	0
0	0	108	0	0
108	0	0	0	0
0	0	0	108	0
0	108	0	0	0
0	108	0	0	0
0	108	0	0	0
0	108	0	0	0
108	0	0	0	0
0	108	0	0	0
0	0	108	0	0
